AdID,職位名稱,公司名稱,發布日期,職位詳情連結
HS26031941,常額 / 合約體育科 APSM (能任教中文 / 英文科),黃埔宣道小學 ALLIANCE PRIMARY SCHOOL WHAMPOA,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26031941/%E5%B8%B8%E9%A1%8D-%E5%90%88%E7%B4%84%E9%AB%94%E8%82%B2%E7%A7%91-APSM-%E8%83%BD%E4%BB%BB%E6%95%99%E4%B8%AD%E6%96%87-%E8%8B%B1%E6%96%87%E7%A7%91-
HS26031942,教師助理 (英文科),黃埔宣道小學 ALLIANCE PRIMARY SCHOOL WHAMPOA,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26031942/%E6%95%99%E5%B8%AB%E5%8A%A9%E7%90%86-%E8%8B%B1%E6%96%87%E7%A7%91-
HS26031943,教師助理 (宗教組),黃埔宣道小學 ALLIANCE PRIMARY SCHOOL WHAMPOA,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26031943/%E6%95%99%E5%B8%AB%E5%8A%A9%E7%90%86-%E5%AE%97%E6%95%99%E7%B5%84-
HS26031961,Contract Chinese Language Teacher,梁式芝書院 LEUNG SHEK CHEE COLLEGE,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26031961/Contract-Chinese-Language-Teacher
HS26031962,Chinese Associate Teacher (for NCS Students),梁式芝書院 LEUNG SHEK CHEE COLLEGE,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26031962/Chinese-Associate-Teacher-for-NCS-Students-
HS26031963,Teaching Assistant (Chinese Language) & (English Language),梁式芝書院 LEUNG SHEK CHEE COLLEGE,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26031963/Teaching-Assistant-Chinese-Language-English-Language-
HS26031964,Executive Officer (Regular / Contract),梁式芝書院 LEUNG SHEK CHEE COLLEGE,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26031964/Executive-Officer-Regular-Contract-
HS26031971,English Teacher (APSM) (2026-2027),瑪利諾修院學校小學部 MARYKNOLL CONVENT SCHOOL PRIMARY SECTION -,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26031971/English-Teacher-APSM-2026-2027-
HS26031981,學校行政主任,靈糧堂怡文中學 LING LIANG CHURCH E WUN SECONDARY SCHOOL,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26031981/%E5%AD%B8%E6%A0%A1%E8%A1%8C%E6%94%BF%E4%B8%BB%E4%BB%BB
HS26031991,常額 / 合約教師 (2026/2027 年度),聖公會青衣邨何澤芸小學 THE IMC OF SKH TSING YI ESTATE HO CHAK WAN PRIMARY SCHOOL,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26031991/%E5%B8%B8%E9%A1%8D-%E5%90%88%E7%B4%84%E6%95%99%E5%B8%AB-2026-2027-%E5%B9%B4%E5%BA%A6-
HS26031992,合約特殊教育需要支援教師 (2026/2027 年度),聖公會青衣邨何澤芸小學 THE IMC OF SKH TSING YI ESTATE HO CHAK WAN PRIMARY SCHOOL,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26031992/%E5%90%88%E7%B4%84%E7%89%B9%E6%AE%8A%E6%95%99%E8%82%B2%E9%9C%80%E8%A6%81%E6%94%AF%E6%8F%B4%E6%95%99%E5%B8%AB-2026-2027-%E5%B9%B4%E5%BA%A6-
HS26032001,常額學校行政主任 (2026/2027 年度),聖公會青衣邨何澤芸小學 THE IMC OF SKH TSING YI ESTATE HO CHAK WAN PRIMARY SCHOOL,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26032001/%E5%B8%B8%E9%A1%8D%E5%AD%B8%E6%A0%A1%E8%A1%8C%E6%94%BF%E4%B8%BB%E4%BB%BB-2026-2027-%E5%B9%B4%E5%BA%A6-
HS26032002,助理學校行政主任 (短期),聖公會青衣邨何澤芸小學 THE IMC OF SKH TSING YI ESTATE HO CHAK WAN PRIMARY SCHOOL,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26032002/%E5%8A%A9%E7%90%86%E5%AD%B8%E6%A0%A1%E8%A1%8C%E6%94%BF%E4%B8%BB%E4%BB%BB-%E7%9F%AD%E6%9C%9F-
HS26032003,合約輔導助理 (2026/2027 年度),聖公會青衣邨何澤芸小學 THE IMC OF SKH TSING YI ESTATE HO CHAK WAN PRIMARY SCHOOL,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26032003/%E5%90%88%E7%B4%84%E8%BC%94%E5%B0%8E%E5%8A%A9%E7%90%86-2026-2027-%E5%B9%B4%E5%BA%A6-
HS26032011,Chinese Language Teacher (GM) (2026-2027),保良局第一張永慶中學 PO LEUNG KUK NO.1 W H CHEUNG COLLEGE,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26032011/Chinese-Language-Teacher-GM-2026-2027-
HS26032012,English Language Teacher (GM) (2026-2027),保良局第一張永慶中學 PO LEUNG KUK NO.1 W H CHEUNG COLLEGE,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26032012/English-Language-Teacher-GM-2026-2027-
HS26032013,English Language & Junior Form History Teacher (GM) (2026-2027),保良局第一張永慶中學 PO LEUNG KUK NO.1 W H CHEUNG COLLEGE,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26032013/English-Language-Junior-Form-History-Teacher-GM-2026-2027-
HS26032014,Mathematics & M2 Teacher (GM) (2026-2027),保良局第一張永慶中學 PO LEUNG KUK NO.1 W H CHEUNG COLLEGE,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26032014/Mathematics-M2-Teacher-GM-2026-2027-
HS26032015,I.T. Technical Support Technician (TSS) + Media Art & Design support (2026-2027),保良局第一張永慶中學 PO LEUNG KUK NO.1 W H CHEUNG COLLEGE,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26032015/I-T-Technical-Support-Technician-TSS-Media-Art-Design-support-2026-2027-
HS26032021,Full Time Native English Teacher (2026/2027),大埔禮賢會幼稚園 TAI PO RHENISH CHURCH KINDERGARTEN,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26032021/Full-Time-Native-English-Teacher-2026-2027-
HS26032031,Physical Education Teacher (EMI),嘉諾撒書院 CANOSSA COLLEGE,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26032031/Physical-Education-Teacher-EMI-
HS26032041,常額教師 APSM (英文、體育、科學),靈光小學 EMMANUEL PRIMARY SCHOOL,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26032041/%E5%B8%B8%E9%A1%8D%E6%95%99%E5%B8%AB-APSM-%E8%8B%B1%E6%96%87%E3%80%81%E9%AB%94%E8%82%B2%E3%80%81%E7%A7%91%E5%AD%B8-
HS26032051,Head of History Department,STEWARDS POOI KEI COLLEGE,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26032051/Head-of-History-Department
HS26032061,Head of Department (English / Mathematics / Information and Communication Technology / Visual Art) (SGM / GM),佛教葉紀南紀念中學 BUDDHIST YIP KEI NAM MEMORIAL COLLEGE,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26032061/Head-of-Department-English-Mathematics-Information-and-Communication-Technology-Visual-Art-SGM-GM-
HS26032062,Teacher (Chinese / English / Mathematics / Information and Communication Technology / Visual Art) (GM),佛教葉紀南紀念中學 BUDDHIST YIP KEI NAM MEMORIAL COLLEGE,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26032062/Teacher-Chinese-English-Mathematics-Information-and-Communication-Technology-Visual-Art-GM-
HS26032071,"ICT & Computer Literacy, and Junior Form Mathematics Teacher (Regular / Contract GM)",瑪利諾神父教會學校 MARYKNOLL FATHERS' SCHOOL,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26032071/ICT-Computer-Literacy-and-Junior-Form-Mathematics-Teacher-Regular-Contract-GM-
HS26032072,Mathematics Teacher (Regular / Contract GM),瑪利諾神父教會學校 MARYKNOLL FATHERS' SCHOOL,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26032072/Mathematics-Teacher-Regular-Contract-GM-
HS26032081,言語治療師一名 (2026 年 9 月 1 日到職),長洲聖心學校 CHEUNG CHAU SACRED HEART SCHOOL,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26032081/%E8%A8%80%E8%AA%9E%E6%B2%BB%E7%99%82%E5%B8%AB%E4%B8%80%E5%90%8D-2026-%E5%B9%B4-9-%E6%9C%88-1-%E6%97%A5%E5%88%B0%E8%81%B7-
HS26032082,英文科主任級教師 PSM (2026 年 9 月 1 日到職),長洲聖心學校 CHEUNG CHAU SACRED HEART SCHOOL,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26032082/%E8%8B%B1%E6%96%87%E7%A7%91%E4%B8%BB%E4%BB%BB%E7%B4%9A%E6%95%99%E5%B8%AB-PSM-2026-%E5%B9%B4-9-%E6%9C%88-1-%E6%97%A5%E5%88%B0%E8%81%B7-
HS26032083,各類型學校活動及訓練之導師 / 教練 (2026 年 9 月 1 日到職),長洲聖心學校 CHEUNG CHAU SACRED HEART SCHOOL,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26032083/%E5%90%84%E9%A1%9E%E5%9E%8B%E5%AD%B8%E6%A0%A1%E6%B4%BB%E5%8B%95%E5%8F%8A%E8%A8%93%E7%B7%B4%E4%B9%8B%E5%B0%8E%E5%B8%AB-%E6%95%99%E7%B7%B4-2026-%E5%B9%B4-9-%E6%9C%88-1-%E6%97%A5%E5%88%B0%E8%81%B7-
HS26032111,English Language Daily-rated Supply Teacher (GM rank),保良局馬錦明中學 PO LEUNG KUK MA KAM MING COLLEGE,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26032111/English-Language-Daily-rated-Supply-Teacher-GM-rank-
HS26032121,英文科學位教師,世界龍岡學校劉皇發中學 LUNG KONG WORLD FEDERATION SCHOOL LTD LAU WONG FAT SECONDARY SCHOOL,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26032121/%E8%8B%B1%E6%96%87%E7%A7%91%E5%AD%B8%E4%BD%8D%E6%95%99%E5%B8%AB
HS26032131,Physics and Integrated Science Teacher,陳瑞祺喇沙書院 CHAN SUI KI (LA SALLE) COLLEGE (),2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26032131/Physics-and-Integrated-Science-Teacher
HS26032141,英文科學位教師 (2026/27 年度),馬鞍山聖若瑟中學 MA ON SHAN ST. JOSEPH'S SECONDARY SCHOOL,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26032141/%E8%8B%B1%E6%96%87%E7%A7%91%E5%AD%B8%E4%BD%8D%E6%95%99%E5%B8%AB-2026-27-%E5%B9%B4%E5%BA%A6-
HS26032161,助理文書主任 ACO (2026/27 年度),博愛醫院歷屆總理聯誼會鄭任安夫人千禧小學 A.D. & F.D. OF POK OI HOSPITAL MRS CHENG YAM ON MILLENNIUM SCHOOL,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26032161/%E5%8A%A9%E7%90%86%E6%96%87%E6%9B%B8%E4%B8%BB%E4%BB%BB-ACO-2026-27-%E5%B9%B4%E5%BA%A6-
HS26032171,英國語文科教師 (常額 / 合約) (2026/2027 年度),文理書院香港 COGNITIO COLLEGE HONG KONG (),2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26032171/%E8%8B%B1%E5%9C%8B%E8%AA%9E%E6%96%87%E7%A7%91%E6%95%99%E5%B8%AB-%E5%B8%B8%E9%A1%8D-%E5%90%88%E7%B4%84-2026-2027-%E5%B9%B4%E5%BA%A6-
HS26032181,Teacher Librarian (2026/27),聖母書院 OUR LADY'S COLLEGE,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26032181/Teacher-Librarian-2026-27-
HS26032182,Maths & Science Teacher (2026/27),聖母書院 OUR LADY'S COLLEGE,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26032182/Maths-Science-Teacher-2026-27-
HS26032191,特殊教育需要學生輔導員,香港聖公會何明華會督中學 HONG KONG SHENG KUNG HUI BISHOP HALL SECONDARY SCHOOL,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26032191/%E7%89%B9%E6%AE%8A%E6%95%99%E8%82%B2%E9%9C%80%E8%A6%81%E5%AD%B8%E7%94%9F%E8%BC%94%E5%B0%8E%E5%93%A1
HS26032221,中文科教師 (常額) (2026-2027 年度),樂善堂梁銶琚學校分校 LOK SIN TONG LEUNG KAU KUI PRIMARY SCHOOL(BRANCH) (),2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26032221/%E4%B8%AD%E6%96%87%E7%A7%91%E6%95%99%E5%B8%AB-%E5%B8%B8%E9%A1%8D-2026-2027-%E5%B9%B4%E5%BA%A6-
HS26032222,英文科教師 (常額) (2026-2027 年度),樂善堂梁銶琚學校分校 LOK SIN TONG LEUNG KAU KUI PRIMARY SCHOOL(BRANCH) (),2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26032222/%E8%8B%B1%E6%96%87%E7%A7%91%E6%95%99%E5%B8%AB-%E5%B8%B8%E9%A1%8D-2026-2027-%E5%B9%B4%E5%BA%A6-
HS26032241,英文科教師一名 (2026 年 9 月到職),順德聯誼會翁祐中學 SHUN TAK FRATERNAL ASSOCIATION YUNG YAU COLLEGE,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26032241/%E8%8B%B1%E6%96%87%E7%A7%91%E6%95%99%E5%B8%AB%E4%B8%80%E5%90%8D-2026-%E5%B9%B4-9-%E6%9C%88%E5%88%B0%E8%81%B7-
HS26032331,英文科代課教師,東華三院馬振玉紀念中學 T.W.G.HS. C.Y.MA MEMORIAL COLLEGE,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26032331/%E8%8B%B1%E6%96%87%E7%A7%91%E4%BB%A3%E8%AA%B2%E6%95%99%E5%B8%AB
HS26032332,化學科代課教師 (可兼教科學及數學優先),東華三院馬振玉紀念中學 T.W.G.HS. C.Y.MA MEMORIAL COLLEGE,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26032332/%E5%8C%96%E5%AD%B8%E7%A7%91%E4%BB%A3%E8%AA%B2%E6%95%99%E5%B8%AB-%E5%8F%AF%E5%85%BC%E6%95%99%E7%A7%91%E5%AD%B8%E5%8F%8A%E6%95%B8%E5%AD%B8%E5%84%AA%E5%85%88-
HS26032333,資訊及通訊科技 ICT 科代課教師,東華三院馬振玉紀念中學 T.W.G.HS. C.Y.MA MEMORIAL COLLEGE,2026-04-28,https://jump.mingpao.com/job/detail/Jobs/2/HS26032333/%E8%B3%87%E8%A8%8A%E5%8F%8A%E9%80%9A%E8%A8%8A%E7%A7%91%E6%8A%80-ICT-%E7%A7%91%E4%BB%A3%E8%AA%B2%E6%95%99%E5%B8%AB
